airport,iata,latitude,longitude
Hartsfield-Jackson Atlanta International Airport,ATL,33.6367,-84.4281
Miami International Airport,MIA,25.7932,-80.2906
Los Angeles International Airport,LAX,33.9425,-118.408
Oakland International Airport,OAK,37.7213,-122.221
Dallas/Fort Worth International Airport,DFW,32.8968,-97.038
Denver International Airport,DEN,39.8617,-104.673
Charlotte Douglas International Airport,CLT,35.214,-80.9431
Philadelphia International Airport,PHL,39.8719,-75.2411
Washington Dulles International Airport,IAD,38.9445,-77.4558
San Francisco International Airport,SFO,37.619,-122.375
Chicago O'Hare International Airport,ORD,41.9786,-87.9047
Detroit Metro Wayne County Airport,DTW,42.2125,-83.3533
Newark Liberty International Airport,EWR,40.6925,-74.1686
John F. Kennedy International Airport,JFK,40.6397,-73.7789
LaGuardia Airport,LGA,40.775,-73.875
Logan International Airport,BOS,42.3643,-71.0052